,fecha_hecho,latitud,longitud,sexo,edad,medio_transporte,modalidad,sede_receptora
124,2017-02-03,6.2674089,-75.57667096,Mujer,43,Autobus,Cosquilleo,Castilla
125,2017-02-03,6.25270168,-75.56869861,Mujer,25,Taxi,Atraco,Candelaria
126,2017-02-03,6.24561094,-75.57591405,Hombre,29,Autobus,Cosquilleo,Candelaria
127,2017-02-03,6.24561094,-75.57591405,Hombre,29,Autobus,Cosquilleo,Candelaria
128,2017-02-04,6.24724916,-75.56966152,Mujer,28,Metro,Cosquilleo,Candelaria
129,2017-02-06,6.26302574,-75.59753504,Mujer,49,Autobus,Atraco,Laureles
130,2017-02-06,6.24708919,-75.56977954,Mujer,32,Metro,Cosquilleo,Candelaria
131,2017-02-06,6.24903295,-75.56699495,Mujer,23,Autobus,Raponazo,Candelaria
132,2017-02-06,6.24708919,-75.56977954,Mujer,32,Metro,Cosquilleo,Candelaria
133,2017-02-06,6.25558922,-75.57951059,Hombre,42,Autobus,Descuido,Laureles
134,2017-02-06,6.24817169,-75.56946304,Mujer,40,Taxi,Atraco,Candelaria
135,2017-02-07,6.21273398,-75.57785723,Mujer,29,Metro,Cosquilleo,Poblado
136,2017-02-07,6.21273398,-75.57785723,Mujer,29,Metro,Cosquilleo,Poblado
137,2017-02-07,6.24728649,-75.56961324,Hombre,33,Metro,Cosquilleo,Candelaria
138,2017-02-08,6.20963759,-75.57735854,Hombre,26,Metro,Cosquilleo,Poblado
139,2017-02-08,6.19395283,-75.58162417,Mujer,31,Metro,Cosquilleo,Poblado
140,2017-02-08,6.19395283,-75.58162417,Mujer,31,Metro,Cosquilleo,Poblado
141,2017-02-09,6.18527047,-75.55249538,Hombre,42,Taxi,Atraco,Buenos Aires
142,2017-02-09,6.18527047,-75.55249538,Hombre,42,Taxi,Atraco,Buenos Aires
143,2017-02-09,6.24738781,-75.56981946,Hombre,22,Metro,Cosquilleo,Candelaria
144,2017-02-09,6.18527047,-75.55249538,Hombre,42,Taxi,Atraco,Buenos Aires
145,2017-02-09,6.21941245,-75.58046546,Hombre,34,Autobus,Cosquilleo,Belén
146,2017-02-09,6.21268236,-75.57734337,Hombre,29,Metro,Cosquilleo,Poblado
147,2017-02-09,6.2816166,-75.58615185,Mujer,27,Autobus,Atraco,Castilla
148,2017-02-10,6.23062197,-75.57500448,Hombre,32,Metro,Cosquilleo,Poblado
149,2017-02-10,6.25795684,-75.56015561,Hombre,45,Taxi,Sin dato,Candelaria
150,2017-02-10,6.25839398,-75.58448763,Mujer,20,Autobus,Cosquilleo,Laureles
151,2017-02-11,6.30004273,-75.55844516,Hombre,32,Metro,Cosquilleo,Castilla
152,2017-02-11,6.30004273,-75.55844516,Hombre,32,Metro,Cosquilleo,Castilla
153,2017-02-11,6.30004273,-75.55844516,Hombre,32,Metro,Cosquilleo,Castilla
154,2017-02-11,6.30004273,-75.55844516,Hombre,32,Metro,Cosquilleo,Castilla
155,2017-02-11,6.24952616,-75.56814876,Hombre,30,Autobus,Cosquilleo,Candelaria
156,2017-02-11,6.29464282,-75.57593789,Hombre,34,Taxi,Atraco,Doce de Octubre
157,2017-02-11,6.25064584,-75.5704267,Mujer,25,Autobus,Cosquilleo,Candelaria
158,2017-02-11,6.26460103,-75.5676445,Hombre,31,Autobus,Atraco,Aranjuez
159,2017-02-12,6.2447142,-75.56615319,Mujer,31,Autobus,Raponazo,Candelaria
160,2017-02-13,6.303462,-75.55774715,Hombre,35,Metro,Cosquilleo,Castilla
161,2017-02-13,6.23865624,-75.5690403,Hombre,31,Taxi,Descuido,Candelaria
162,2017-02-13,6.303462,-75.55774715,Hombre,35,Metro,Cosquilleo,Castilla
163,2017-02-13,6.303462,-75.55774715,Hombre,35,Metro,Cosquilleo,Castilla
164,2017-02-13,6.303462,-75.55774715,Hombre,35,Metro,Cosquilleo,Castilla
165,2017-02-13,6.23855701,-75.57305183,Mujer,23,Metro,Cosquilleo,Candelaria
166,2017-02-13,6.24777917,-75.56937431,Hombre,34,Metro,Cosquilleo,Candelaria
167,2017-02-13,6.303462,-75.55774715,Hombre,35,Metro,Cosquilleo,Castilla
168,2017-02-13,6.303462,-75.55774715,Hombre,35,Metro,Cosquilleo,Castilla
169,2017-02-13,6.23855701,-75.57305183,Mujer,23,Metro,Cosquilleo,Candelaria
170,2017-02-13,6.29832949,-75.58320385,Hombre,27,Autobus,Cosquilleo,Doce de Octubre
171,2017-02-13,6.27710532,-75.56442048,Hombre,33,Taxi,Descuido,Aranjuez
172,2017-02-14,6.24734515,-75.56945767,Hombre,33,Metro,Cosquilleo,Candelaria
173,2017-02-15,6.28099252,-75.55654284,Mujer,20,Metro,Cosquilleo,Aranjuez
174,2017-02-15,6.27732418,-75.56497308,Mujer,85,Taxi,Comisión de delito,Aranjuez
175,2017-02-15,6.25040289,-75.56810584,Mujer,41,Metro,Cosquilleo,Candelaria
176,2017-02-15,6.25044069,-75.56816619,Mujer,30,Metro,Cosquilleo,Candelaria
177,2017-02-15,6.25044069,-75.56816619,Mujer,30,Metro,Cosquilleo,Candelaria
178,2017-02-16,6.25049331,-75.56819707,Hombre,30,Metro,Cosquilleo,Candelaria
179,2017-02-16,6.26302264,-75.58875885,Hombre,19,Autobus,Cosquilleo,Laureles
180,2017-02-16,6.21289975,-75.57785401,Hombre,31,Metro,Cosquilleo,Poblado
